Date,Year,Month,Day,YearMonth,Quarter,DayOfWeek,DayOfWeekName,WeekOfYear,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd
2022-02-06,2022,2,6,2022-02,1,7,Sunday,5,True,False,False,False,False,False,False
2022-02-07,2022,2,7,2022-02,1,1,Monday,6,False,False,False,False,False,False,False
2022-02-08,2022,2,8,2022-02,1,2,Tuesday,6,False,False,False,False,False,False,False
2022-02-09,2022,2,9,2022-02,1,3,Wednesday,6,False,False,False,False,False,False,False
2022-02-10,2022,2,10,2022-02,1,4,Thursday,6,False,False,False,False,False,False,False
2022-02-11,2022,2,11,2022-02,1,5,Friday,6,False,False,False,False,False,False,False
2022-02-12,2022,2,12,2022-02,1,6,Saturday,6,True,False,False,False,False,False,False
2022-02-13,2022,2,13,2022-02,1,7,Sunday,6,True,False,False,False,False,False,False
2022-02-14,2022,2,14,2022-02,1,1,Monday,7,False,False,False,False,False,False,False
2022-02-15,2022,2,15,2022-02,1,2,Tuesday,7,False,False,False,False,False,False,False
2022-02-16,2022,2,16,2022-02,1,3,Wednesday,7,False,False,False,False,False,False,False
2022-02-17,2022,2,17,2022-02,1,4,Thursday,7,False,False,False,False,False,False,False
2022-02-18,2022,2,18,2022-02,1,5,Friday,7,False,False,False,False,False,False,False
2022-02-19,2022,2,19,2022-02,1,6,Saturday,7,True,False,False,False,False,False,False
2022-02-20,2022,2,20,2022-02,1,7,Sunday,7,True,False,False,False,False,False,False
2022-02-21,2022,2,21,2022-02,1,1,Monday,8,False,False,False,False,False,False,False
2022-02-22,2022,2,22,2022-02,1,2,Tuesday,8,False,False,False,False,False,False,False
2022-02-23,2022,2,23,2022-02,1,3,Wednesday,8,False,False,False,False,False,False,False
2022-02-24,2022,2,24,2022-02,1,4,Thursday,8,False,False,False,False,False,False,False
2022-02-25,2022,2,25,2022-02,1,5,Friday,8,False,False,False,False,False,False,False
2022-02-26,2022,2,26,2022-02,1,6,Saturday,8,True,False,False,False,False,False,False
2022-02-27,2022,2,27,2022-02,1,7,Sunday,8,True,False,False,False,False,False,False
2022-02-28,2022,2,28,2022-02,1,1,Monday,9,False,False,True,False,False,False,False
2022-03-01,2022,3,1,2022-03,1,2,Tuesday,9,False,True,False,False,False,False,False
2022-03-02,2022,3,2,2022-03,1,3,Wednesday,9,False,False,False,False,False,False,False
2022-03-03,2022,3,3,2022-03,1,4,Thursday,9,False,False,False,False,False,False,False
2022-03-04,2022,3,4,2022-03,1,5,Friday,9,False,False,False,False,False,False,False
2022-03-05,2022,3,5,2022-03,1,6,Saturday,9,True,False,False,False,False,False,False
2022-03-06,2022,3,6,2022-03,1,7,Sunday,9,True,False,False,False,False,False,False
2022-03-07,2022,3,7,2022-03,1,1,Monday,10,False,False,False,False,False,False,False
2022-03-08,2022,3,8,2022-03,1,2,Tuesday,10,False,False,False,False,False,False,False
2022-03-09,2022,3,9,2022-03,1,3,Wednesday,10,False,False,False,False,False,False,False
2022-03-10,2022,3,10,2022-03,1,4,Thursday,10,False,False,False,False,False,False,False
2022-03-11,2022,3,11,2022-03,1,5,Friday,10,False,False,False,False,False,False,False
2022-03-12,2022,3,12,2022-03,1,6,Saturday,10,True,False,False,False,False,False,False
2022-03-13,2022,3,13,2022-03,1,7,Sunday,10,True,False,False,False,False,False,False
2022-03-14,2022,3,14,2022-03,1,1,Monday,11,False,False,False,False,False,False,False
2022-03-15,2022,3,15,2022-03,1,2,Tuesday,11,False,False,False,False,False,False,False
2022-03-16,2022,3,16,2022-03,1,3,Wednesday,11,False,False,False,False,False,False,False
2022-03-17,2022,3,17,2022-03,1,4,Thursday,11,False,False,False,False,False,False,False
2022-03-18,2022,3,18,2022-03,1,5,Friday,11,False,False,False,False,False,False,False
2022-03-19,2022,3,19,2022-03,1,6,Saturday,11,True,False,False,False,False,False,False
2022-03-20,2022,3,20,2022-03,1,7,Sunday,11,True,False,False,False,False,False,False
2022-03-21,2022,3,21,2022-03,1,1,Monday,12,False,False,False,False,False,False,False
2022-03-22,2022,3,22,2022-03,1,2,Tuesday,12,False,False,False,False,False,False,False
2022-03-23,2022,3,23,2022-03,1,3,Wednesday,12,False,False,False,False,False,False,False
2022-03-24,2022,3,24,2022-03,1,4,Thursday,12,False,False,False,False,False,False,False
2022-03-25,2022,3,25,2022-03,1,5,Friday,12,False,False,False,False,False,False,False
2022-03-26,2022,3,26,2022-03,1,6,Saturday,12,True,False,False,False,False,False,False
2022-03-27,2022,3,27,2022-03,1,7,Sunday,12,True,False,False,False,False,False,False
2022-03-28,2022,3,28,2022-03,1,1,Monday,13,False,False,False,False,False,False,False
2022-03-29,2022,3,29,2022-03,1,2,Tuesday,13,False,False,False,False,False,False,False
2022-03-30,2022,3,30,2022-03,1,3,Wednesday,13,False,False,False,False,False,False,False
2022-03-31,2022,3,31,2022-03,1,4,Thursday,13,False,False,True,False,True,False,False
2022-04-01,2022,4,1,2022-04,2,5,Friday,13,False,True,False,True,False,False,False
2022-04-02,2022,4,2,2022-04,2,6,Saturday,13,True,False,False,False,False,False,False
2022-04-03,2022,4,3,2022-04,2,7,Sunday,13,True,False,False,False,False,False,False
2022-04-04,2022,4,4,2022-04,2,1,Monday,14,False,False,False,False,False,False,False
2022-04-05,2022,4,5,2022-04,2,2,Tuesday,14,False,False,False,False,False,False,False
2022-04-06,2022,4,6,2022-04,2,3,Wednesday,14,False,False,False,False,False,False,False
2022-04-07,2022,4,7,2022-04,2,4,Thursday,14,False,False,False,False,False,False,False
2022-04-08,2022,4,8,2022-04,2,5,Friday,14,False,False,False,False,False,False,False
2022-04-09,2022,4,9,2022-04,2,6,Saturday,14,True,False,False,False,False,False,False
2022-04-10,2022,4,10,2022-04,2,7,Sunday,14,True,False,False,False,False,False,False
2022-04-11,2022,4,11,2022-04,2,1,Monday,15,False,False,False,False,False,False,False
2022-04-12,2022,4,12,2022-04,2,2,Tuesday,15,False,False,False,False,False,False,False
2022-04-13,2022,4,13,2022-04,2,3,Wednesday,15,False,False,False,False,False,False,False
2022-04-14,2022,4,14,2022-04,2,4,Thursday,15,False,False,False,False,False,False,False
2022-04-15,2022,4,15,2022-04,2,5,Friday,15,False,False,False,False,False,False,False
2022-04-16,2022,4,16,2022-04,2,6,Saturday,15,True,False,False,False,False,False,False
2022-04-17,2022,4,17,2022-04,2,7,Sunday,15,True,False,False,False,False,False,False
2022-04-18,2022,4,18,2022-04,2,1,Monday,16,False,False,False,False,False,False,False
2022-04-19,2022,4,19,2022-04,2,2,Tuesday,16,False,False,False,False,False,False,False
2022-04-20,2022,4,20,2022-04,2,3,Wednesday,16,False,False,False,False,False,False,False
2022-04-21,2022,4,21,2022-04,2,4,Thursday,16,False,False,False,False,False,False,False
2022-04-22,2022,4,22,2022-04,2,5,Friday,16,False,False,False,False,False,False,False
2022-04-23,2022,4,23,2022-04,2,6,Saturday,16,True,False,False,False,False,False,False
2022-04-24,2022,4,24,2022-04,2,7,Sunday,16,True,False,False,False,False,False,False
2022-04-25,2022,4,25,2022-04,2,1,Monday,17,False,False,False,False,False,False,False
2022-04-26,2022,4,26,2022-04,2,2,Tuesday,17,False,False,False,False,False,False,False
2022-04-27,2022,4,27,2022-04,2,3,Wednesday,17,False,False,False,False,False,False,False
2022-04-28,2022,4,28,2022-04,2,4,Thursday,17,False,False,False,False,False,False,False
2022-04-29,2022,4,29,2022-04,2,5,Friday,17,False,False,False,False,False,False,False
2022-04-30,2022,4,30,2022-04,2,6,Saturday,17,True,False,True,False,False,False,False
2022-05-01,2022,5,1,2022-05,2,7,Sunday,17,True,True,False,False,False,False,False
2022-05-02,2022,5,2,2022-05,2,1,Monday,18,False,False,False,False,False,False,False
2022-05-03,2022,5,3,2022-05,2,2,Tuesday,18,False,False,False,False,False,False,False
2022-05-04,2022,5,4,2022-05,2,3,Wednesday,18,False,False,False,False,False,False,False
2022-05-05,2022,5,5,2022-05,2,4,Thursday,18,False,False,False,False,False,False,False
2022-05-06,2022,5,6,2022-05,2,5,Friday,18,False,False,False,False,False,False,False
2022-05-07,2022,5,7,2022-05,2,6,Saturday,18,True,False,False,False,False,False,False
2022-05-08,2022,5,8,2022-05,2,7,Sunday,18,True,False,False,False,False,False,False
2022-05-09,2022,5,9,2022-05,2,1,Monday,19,False,False,False,False,False,False,False
2022-05-10,2022,5,10,2022-05,2,2,Tuesday,19,False,False,False,False,False,False,False
2022-05-11,2022,5,11,2022-05,2,3,Wednesday,19,False,False,False,False,False,False,False
2022-05-12,2022,5,12,2022-05,2,4,Thursday,19,False,False,False,False,False,False,False
2022-05-13,2022,5,13,2022-05,2,5,Friday,19,False,False,False,False,False,False,False
2022-05-14,2022,5,14,2022-05,2,6,Saturday,19,True,False,False,False,False,False,False
2022-05-15,2022,5,15,2022-05,2,7,Sunday,19,True,False,False,False,False,False,False
2022-05-16,2022,5,16,2022-05,2,1,Monday,20,False,False,False,False,False,False,False
2022-05-17,2022,5,17,2022-05,2,2,Tuesday,20,False,False,False,False,False,False,False
2022-05-18,2022,5,18,2022-05,2,3,Wednesday,20,False,False,False,False,False,False,False
2022-05-19,2022,5,19,2022-05,2,4,Thursday,20,False,False,False,False,False,False,False
2022-05-20,2022,5,20,2022-05,2,5,Friday,20,False,False,False,False,False,False,False
2022-05-21,2022,5,21,2022-05,2,6,Saturday,20,True,False,False,False,False,False,False
2022-05-22,2022,5,22,2022-05,2,7,Sunday,20,True,False,False,False,False,False,False
2022-05-23,2022,5,23,2022-05,2,1,Monday,21,False,False,False,False,False,False,False
2022-05-24,2022,5,24,2022-05,2,2,Tuesday,21,False,False,False,False,False,False,False
2022-05-25,2022,5,25,2022-05,2,3,Wednesday,21,False,False,False,False,False,False,False
2022-05-26,2022,5,26,2022-05,2,4,Thursday,21,False,False,False,False,False,False,False
2022-05-27,2022,5,27,2022-05,2,5,Friday,21,False,False,False,False,False,False,False
2022-05-28,2022,5,28,2022-05,2,6,Saturday,21,True,False,False,False,False,False,False
2022-05-29,2022,5,29,2022-05,2,7,Sunday,21,True,False,False,False,False,False,False
2022-05-30,2022,5,30,2022-05,2,1,Monday,22,False,False,False,False,False,False,False
2022-05-31,2022,5,31,2022-05,2,2,Tuesday,22,False,False,True,False,False,False,False
2022-06-01,2022,6,1,2022-06,2,3,Wednesday,22,False,True,False,False,False,False,False
2022-06-02,2022,6,2,2022-06,2,4,Thursday,22,False,False,False,False,False,False,False
2022-06-03,2022,6,3,2022-06,2,5,Friday,22,False,False,False,False,False,False,False
2022-06-04,2022,6,4,2022-06,2,6,Saturday,22,True,False,False,False,False,False,False
2022-06-05,2022,6,5,2022-06,2,7,Sunday,22,True,False,False,False,False,False,False
2022-06-06,2022,6,6,2022-06,2,1,Monday,23,False,False,False,False,False,False,False
2022-06-07,2022,6,7,2022-06,2,2,Tuesday,23,False,False,False,False,False,False,False
2022-06-08,2022,6,8,2022-06,2,3,Wednesday,23,False,False,False,False,False,False,False
2022-06-09,2022,6,9,2022-06,2,4,Thursday,23,False,False,False,False,False,False,False
2022-06-10,2022,6,10,2022-06,2,5,Friday,23,False,False,False,False,False,False,False
2022-06-11,2022,6,11,2022-06,2,6,Saturday,23,True,False,False,False,False,False,False
2022-06-12,2022,6,12,2022-06,2,7,Sunday,23,True,False,False,False,False,False,False
2022-06-13,2022,6,13,2022-06,2,1,Monday,24,False,False,False,False,False,False,False
2022-06-14,2022,6,14,2022-06,2,2,Tuesday,24,False,False,False,False,False,False,False
2022-06-15,2022,6,15,2022-06,2,3,Wednesday,24,False,False,False,False,False,False,False
2022-06-16,2022,6,16,2022-06,2,4,Thursday,24,False,False,False,False,False,False,False
2022-06-17,2022,6,17,2022-06,2,5,Friday,24,False,False,False,False,False,False,False
2022-06-18,2022,6,18,2022-06,2,6,Saturday,24,True,False,False,False,False,False,False
2022-06-19,2022,6,19,2022-06,2,7,Sunday,24,True,False,False,False,False,False,False
2022-06-20,2022,6,20,2022-06,2,1,Monday,25,False,False,False,False,False,False,False
2022-06-21,2022,6,21,2022-06,2,2,Tuesday,25,False,False,False,False,False,False,False
2022-06-22,2022,6,22,2022-06,2,3,Wednesday,25,False,False,False,False,False,False,False
2022-06-23,2022,6,23,2022-06,2,4,Thursday,25,False,False,False,False,False,False,False
2022-06-24,2022,6,24,2022-06,2,5,Friday,25,False,False,False,False,False,False,False
2022-06-25,2022,6,25,2022-06,2,6,Saturday,25,True,False,False,False,False,False,False
2022-06-26,2022,6,26,2022-06,2,7,Sunday,25,True,False,False,False,False,False,False
2022-06-27,2022,6,27,2022-06,2,1,Monday,26,False,False,False,False,False,False,False
2022-06-28,2022,6,28,2022-06,2,2,Tuesday,26,False,False,False,False,False,False,False
2022-06-29,2022,6,29,2022-06,2,3,Wednesday,26,False,False,False,False,False,False,False
2022-06-30,2022,6,30,2022-06,2,4,Thursday,26,False,False,True,False,True,False,False
2022-07-01,2022,7,1,2022-07,3,5,Friday,26,False,True,False,True,False,False,False
2022-07-02,2022,7,2,2022-07,3,6,Saturday,26,True,False,False,False,False,False,False
2022-07-03,2022,7,3,2022-07,3,7,Sunday,26,True,False,False,False,False,False,False
2022-07-04,2022,7,4,2022-07,3,1,Monday,27,False,False,False,False,False,False,False
2022-07-05,2022,7,5,2022-07,3,2,Tuesday,27,False,False,False,False,False,False,False
2022-07-06,2022,7,6,2022-07,3,3,Wednesday,27,False,False,False,False,False,False,False
2022-07-07,2022,7,7,2022-07,3,4,Thursday,27,False,False,False,False,False,False,False
2022-07-08,2022,7,8,2022-07,3,5,Friday,27,False,False,False,False,False,False,False
2022-07-09,2022,7,9,2022-07,3,6,Saturday,27,True,False,False,False,False,False,False
2022-07-10,2022,7,10,2022-07,3,7,Sunday,27,True,False,False,False,False,False,False
2022-07-11,2022,7,11,2022-07,3,1,Monday,28,False,False,False,False,False,False,False
2022-07-12,2022,7,12,2022-07,3,2,Tuesday,28,False,False,False,False,False,False,False
2022-07-13,2022,7,13,2022-07,3,3,Wednesday,28,False,False,False,False,False,False,False
2022-07-14,2022,7,14,2022-07,3,4,Thursday,28,False,False,False,False,False,False,False
2022-07-15,2022,7,15,2022-07,3,5,Friday,28,False,False,False,False,False,False,False
2022-07-16,2022,7,16,2022-07,3,6,Saturday,28,True,False,False,False,False,False,False
2022-07-17,2022,7,17,2022-07,3,7,Sunday,28,True,False,False,False,False,False,False
2022-07-18,2022,7,18,2022-07,3,1,Monday,29,False,False,False,False,False,False,False
2022-07-19,2022,7,19,2022-07,3,2,Tuesday,29,False,False,False,False,False,False,False
2022-07-20,2022,7,20,2022-07,3,3,Wednesday,29,False,False,False,False,False,False,False
2022-07-21,2022,7,21,2022-07,3,4,Thursday,29,False,False,False,False,False,False,False
2022-07-22,2022,7,22,2022-07,3,5,Friday,29,False,False,False,False,False,False,False
2022-07-23,2022,7,23,2022-07,3,6,Saturday,29,True,False,False,False,False,False,False
2022-07-24,2022,7,24,2022-07,3,7,Sunday,29,True,False,False,False,False,False,False
2022-07-25,2022,7,25,2022-07,3,1,Monday,30,False,False,False,False,False,False,False
2022-07-26,2022,7,26,2022-07,3,2,Tuesday,30,False,False,False,False,False,False,False
2022-07-27,2022,7,27,2022-07,3,3,Wednesday,30,False,False,False,False,False,False,False
2022-07-28,2022,7,28,2022-07,3,4,Thursday,30,False,False,False,False,False,False,False
2022-07-29,2022,7,29,2022-07,3,5,Friday,30,False,False,False,False,False,False,False
2022-07-30,2022,7,30,2022-07,3,6,Saturday,30,True,False,False,False,False,False,False
2022-07-31,2022,7,31,2022-07,3,7,Sunday,30,True,False,True,False,False,False,False
2022-08-01,2022,8,1,2022-08,3,1,Monday,31,False,True,False,False,False,False,False
2022-08-02,2022,8,2,2022-08,3,2,Tuesday,31,False,False,False,False,False,False,False
2022-08-03,2022,8,3,2022-08,3,3,Wednesday,31,False,False,False,False,False,False,False
2022-08-04,2022,8,4,2022-08,3,4,Thursday,31,False,False,False,False,False,False,False
2022-08-05,2022,8,5,2022-08,3,5,Friday,31,False,False,False,False,False,False,False
2022-08-06,2022,8,6,2022-08,3,6,Saturday,31,True,False,False,False,False,False,False
2022-08-07,2022,8,7,2022-08,3,7,Sunday,31,True,False,False,False,False,False,False
2022-08-08,2022,8,8,2022-08,3,1,Monday,32,False,False,False,False,False,False,False
2022-08-09,2022,8,9,2022-08,3,2,Tuesday,32,False,False,False,False,False,False,False
2022-08-10,2022,8,10,2022-08,3,3,Wednesday,32,False,False,False,False,False,False,False
2022-08-11,2022,8,11,2022-08,3,4,Thursday,32,False,False,False,False,False,False,False
2022-08-12,2022,8,12,2022-08,3,5,Friday,32,False,False,False,False,False,False,False
2022-08-13,2022,8,13,2022-08,3,6,Saturday,32,True,False,False,False,False,False,False
2022-08-14,2022,8,14,2022-08,3,7,Sunday,32,True,False,False,False,False,False,False
2022-08-15,2022,8,15,2022-08,3,1,Monday,33,False,False,False,False,False,False,False
2022-08-16,2022,8,16,2022-08,3,2,Tuesday,33,False,False,False,False,False,False,False
2022-08-17,2022,8,17,2022-08,3,3,Wednesday,33,False,False,False,False,False,False,False
2022-08-18,2022,8,18,2022-08,3,4,Thursday,33,False,False,False,False,False,False,False
2022-08-19,2022,8,19,2022-08,3,5,Friday,33,False,False,False,False,False,False,False
2022-08-20,2022,8,20,2022-08,3,6,Saturday,33,True,False,False,False,False,False,False
2022-08-21,2022,8,21,2022-08,3,7,Sunday,33,True,False,False,False,False,False,False
2022-08-22,2022,8,22,2022-08,3,1,Monday,34,False,False,False,False,False,False,False
2022-08-23,2022,8,23,2022-08,3,2,Tuesday,34,False,False,False,False,False,False,False
2022-08-24,2022,8,24,2022-08,3,3,Wednesday,34,False,False,False,False,False,False,False
2022-08-25,2022,8,25,2022-08,3,4,Thursday,34,False,False,False,False,False,False,False
2022-08-26,2022,8,26,2022-08,3,5,Friday,34,False,False,False,False,False,False,False
2022-08-27,2022,8,27,2022-08,3,6,Saturday,34,True,False,False,False,False,False,False
2022-08-28,2022,8,28,2022-08,3,7,Sunday,34,True,False,False,False,False,False,False
2022-08-29,2022,8,29,2022-08,3,1,Monday,35,False,False,False,False,False,False,False
2022-08-30,2022,8,30,2022-08,3,2,Tuesday,35,False,False,False,False,False,False,False
2022-08-31,2022,8,31,2022-08,3,3,Wednesday,35,False,False,True,False,False,False,False
2022-09-01,2022,9,1,2022-09,3,4,Thursday,35,False,True,False,False,False,False,False
2022-09-02,2022,9,2,2022-09,3,5,Friday,35,False,False,False,False,False,False,False
2022-09-03,2022,9,3,2022-09,3,6,Saturday,35,True,False,False,False,False,False,False
2022-09-04,2022,9,4,2022-09,3,7,Sunday,35,True,False,False,False,False,False,False
2022-09-05,2022,9,5,2022-09,3,1,Monday,36,False,False,False,False,False,False,False
2022-09-06,2022,9,6,2022-09,3,2,Tuesday,36,False,False,False,False,False,False,False
2022-09-07,2022,9,7,2022-09,3,3,Wednesday,36,False,False,False,False,False,False,False
2022-09-08,2022,9,8,2022-09,3,4,Thursday,36,False,False,False,False,False,False,False
2022-09-09,2022,9,9,2022-09,3,5,Friday,36,False,False,False,False,False,False,False
2022-09-10,2022,9,10,2022-09,3,6,Saturday,36,True,False,False,False,False,False,False
2022-09-11,2022,9,11,2022-09,3,7,Sunday,36,True,False,False,False,False,False,False
2022-09-12,2022,9,12,2022-09,3,1,Monday,37,False,False,False,False,False,False,False
2022-09-13,2022,9,13,2022-09,3,2,Tuesday,37,False,False,False,False,False,False,False
2022-09-14,2022,9,14,2022-09,3,3,Wednesday,37,False,False,False,False,False,False,False
2022-09-15,2022,9,15,2022-09,3,4,Thursday,37,False,False,False,False,False,False,False
2022-09-16,2022,9,16,2022-09,3,5,Friday,37,False,False,False,False,False,False,False
2022-09-17,2022,9,17,2022-09,3,6,Saturday,37,True,False,False,False,False,False,False
2022-09-18,2022,9,18,2022-09,3,7,Sunday,37,True,False,False,False,False,False,False
2022-09-19,2022,9,19,2022-09,3,1,Monday,38,False,False,False,False,False,False,False
2022-09-20,2022,9,20,2022-09,3,2,Tuesday,38,False,False,False,False,False,False,False
2022-09-21,2022,9,21,2022-09,3,3,Wednesday,38,False,False,False,False,False,False,False
2022-09-22,2022,9,22,2022-09,3,4,Thursday,38,False,False,False,False,False,False,False
2022-09-23,2022,9,23,2022-09,3,5,Friday,38,False,False,False,False,False,False,False
2022-09-24,2022,9,24,2022-09,3,6,Saturday,38,True,False,False,False,False,False,False
2022-09-25,2022,9,25,2022-09,3,7,Sunday,38,True,False,False,False,False,False,False
2022-09-26,2022,9,26,2022-09,3,1,Monday,39,False,False,False,False,False,False,False
2022-09-27,2022,9,27,2022-09,3,2,Tuesday,39,False,False,False,False,False,False,False
2022-09-28,2022,9,28,2022-09,3,3,Wednesday,39,False,False,False,False,False,False,False
2022-09-29,2022,9,29,2022-09,3,4,Thursday,39,False,False,False,False,False,False,False
2022-09-30,2022,9,30,2022-09,3,5,Friday,39,False,False,True,False,True,False,False
2022-10-01,2022,10,1,2022-10,4,6,Saturday,39,True,True,False,True,False,False,False
2022-10-02,2022,10,2,2022-10,4,7,Sunday,39,True,False,False,False,False,False,False
2022-10-03,2022,10,3,2022-10,4,1,Monday,40,False,False,False,False,False,False,False
2022-10-04,2022,10,4,2022-10,4,2,Tuesday,40,False,False,False,False,False,False,False
2022-10-05,2022,10,5,2022-10,4,3,Wednesday,40,False,False,False,False,False,False,False
2022-10-06,2022,10,6,2022-10,4,4,Thursday,40,False,False,False,False,False,False,False
2022-10-07,2022,10,7,2022-10,4,5,Friday,40,False,False,False,False,False,False,False
2022-10-08,2022,10,8,2022-10,4,6,Saturday,40,True,False,False,False,False,False,False
2022-10-09,2022,10,9,2022-10,4,7,Sunday,40,True,False,False,False,False,False,False
2022-10-10,2022,10,10,2022-10,4,1,Monday,41,False,False,False,False,False,False,False
2022-10-11,2022,10,11,2022-10,4,2,Tuesday,41,False,False,False,False,False,False,False
2022-10-12,2022,10,12,2022-10,4,3,Wednesday,41,False,False,False,False,False,False,False
2022-10-13,2022,10,13,2022-10,4,4,Thursday,41,False,False,False,False,False,False,False
2022-10-14,2022,10,14,2022-10,4,5,Friday,41,False,False,False,False,False,False,False
2022-10-15,2022,10,15,2022-10,4,6,Saturday,41,True,False,False,False,False,False,False
2022-10-16,2022,10,16,2022-10,4,7,Sunday,41,True,False,False,False,False,False,False
2022-10-17,2022,10,17,2022-10,4,1,Monday,42,False,False,False,False,False,False,False
2022-10-18,2022,10,18,2022-10,4,2,Tuesday,42,False,False,False,False,False,False,False
2022-10-19,2022,10,19,2022-10,4,3,Wednesday,42,False,False,False,False,False,False,False
2022-10-20,2022,10,20,2022-10,4,4,Thursday,42,False,False,False,False,False,False,False
2022-10-21,2022,10,21,2022-10,4,5,Friday,42,False,False,False,False,False,False,False
2022-10-22,2022,10,22,2022-10,4,6,Saturday,42,True,False,False,False,False,False,False
2022-10-23,2022,10,23,2022-10,4,7,Sunday,42,True,False,False,False,False,False,False
2022-10-24,2022,10,24,2022-10,4,1,Monday,43,False,False,False,False,False,False,False
2022-10-25,2022,10,25,2022-10,4,2,Tuesday,43,False,False,False,False,False,False,False
2022-10-26,2022,10,26,2022-10,4,3,Wednesday,43,False,False,False,False,False,False,False
2022-10-27,2022,10,27,2022-10,4,4,Thursday,43,False,False,False,False,False,False,False
2022-10-28,2022,10,28,2022-10,4,5,Friday,43,False,False,False,False,False,False,False
2022-10-29,2022,10,29,2022-10,4,6,Saturday,43,True,False,False,False,False,False,False
2022-10-30,2022,10,30,2022-10,4,7,Sunday,43,True,False,False,False,False,False,False
2022-10-31,2022,10,31,2022-10,4,1,Monday,44,False,False,True,False,False,False,False
2022-11-01,2022,11,1,2022-11,4,2,Tuesday,44,False,True,False,False,False,False,False
2022-11-02,2022,11,2,2022-11,4,3,Wednesday,44,False,False,False,False,False,False,False
2022-11-03,2022,11,3,2022-11,4,4,Thursday,44,False,False,False,False,False,False,False
2022-11-04,2022,11,4,2022-11,4,5,Friday,44,False,False,False,False,False,False,False
2022-11-05,2022,11,5,2022-11,4,6,Saturday,44,True,False,False,False,False,False,False
2022-11-06,2022,11,6,2022-11,4,7,Sunday,44,True,False,False,False,False,False,False
2022-11-07,2022,11,7,2022-11,4,1,Monday,45,False,False,False,False,False,False,False
2022-11-08,2022,11,8,2022-11,4,2,Tuesday,45,False,False,False,False,False,False,False
2022-11-09,2022,11,9,2022-11,4,3,Wednesday,45,False,False,False,False,False,False,False
