ShipmentItem,Shipment,Item,OrderItem,Date,Stock
200054-1,200054,1,100099-1,6/22/2022,S0077
200054-2,200054,2,100099-2,6/22/2022,S0403
200055-1,200055,1,100101-1,9/7/2022,S0051
200055-2,200055,2,100101-2,9/7/2022,S0486
200055-3,200055,3,100101-3,9/7/2022,S0608
200055-4,200055,4,100101-4,9/7/2022,S0308
200056-1,200056,1,100102-1,6/3/2023,S0117
200057-1,200057,1,100104-1,8/15/2022,S0136
200057-2,200057,2,100104-2,8/15/2022,S0511
200057-3,200057,3,100104-3,8/15/2022,S0059
200057-4,200057,4,100104-4,8/15/2022,S0618
200057-5,200057,5,100104-5,8/15/2022,S0591
200058-1,200058,1,100105-1,3/19/2022,S0314
200058-2,200058,2,100105-2,3/19/2022,S0445
200059-1,200059,1,100106-1,7/18/2024,S0399
200060-1,200060,1,100107-1,10/17/2025,S0285
200060-2,200060,2,100107-2,10/17/2025,S0500
200060-3,200060,3,100107-3,10/17/2025,S0186
200060-4,200060,4,100107-4,10/17/2025,S0165
200060-5,200060,5,100107-5,10/17/2025,S0055
200061-1,200061,1,100108-1,11/30/2025,S0239
200061-2,200061,2,100108-2,11/30/2025,S0319
200061-3,200061,3,100108-3,11/30/2025,S0133
200061-4,200061,4,100108-4,11/30/2025,S0526
200061-5,200061,5,100108-5,11/30/2025,S0040
200062-1,200062,1,100110-1,11/23/2025,S0614
200062-2,200062,2,100110-2,11/23/2025,S0457
200062-3,200062,3,100110-3,11/23/2025,S0422
200062-4,200062,4,100110-4,11/23/2025,S0613
200062-5,200062,5,100110-5,11/23/2025,S0409
200063-1,200063,1,100112-1,5/11/2022,S0195
200063-2,200063,2,100112-2,5/11/2022,S0385
200064-1,200064,1,100113-1,3/9/2024,S0017
200064-2,200064,2,100113-2,3/9/2024,S0455
200065-1,200065,1,100116-1,7/25/2025,S0190
200065-2,200065,2,100116-2,7/25/2025,S0522
200065-3,200065,3,100116-3,7/25/2025,S0578
200065-4,200065,4,100116-4,7/25/2025,S0483
200065-5,200065,5,100116-5,7/25/2025,S0032
200066-1,200066,1,100117-1,5/13/2023,S0449
200066-2,200066,2,100117-2,5/13/2023,S0304
200066-3,200066,3,100117-3,5/13/2023,S0306
200066-4,200066,4,100117-4,5/13/2023,S0430
200066-5,200066,5,100117-5,5/13/2023,S0349
200067-1,200067,1,100118-1,9/17/2025,S0501
200067-2,200067,2,100118-2,9/17/2025,S0451
200067-3,200067,3,100118-3,9/17/2025,S0191
200067-4,200067,4,100118-4,9/17/2025,S0166
200068-1,200068,1,100119-1,6/30/2025,S0484
200068-2,200068,2,100119-2,6/30/2025,S0373
200068-3,200068,3,100119-3,6/30/2025,S0567
200068-4,200068,4,100119-4,6/30/2025,S0350
200069-1,200069,1,100121-1,11/14/2024,S0057
200069-2,200069,2,100121-2,11/14/2024,S0121
200069-3,200069,3,100121-3,11/14/2024,S0435
200069-4,200069,4,100121-4,11/14/2024,S0079
200069-5,200069,5,100121-5,11/14/2024,S0285
200070-1,200070,1,100123-1,6/9/2022,S0037
200070-2,200070,2,100123-2,6/9/2022,S0570
200070-3,200070,3,100123-3,6/9/2022,S0271
200070-4,200070,4,100123-4,6/9/2022,S0280
200070-5,200070,5,100123-5,6/9/2022,S0412
200071-1,200071,1,100125-1,11/8/2022,S0188
200071-2,200071,2,100125-2,11/8/2022,S0013
200071-3,200071,3,100125-3,11/8/2022,S0354
200071-4,200071,4,100125-4,11/8/2022,S0084
200072-1,200072,1,100126-1,6/24/2023,S0288
200072-2,200072,2,100126-2,6/24/2023,S0228
200072-3,200072,3,100126-3,6/24/2023,S0192
200072-4,200072,4,100126-4,6/24/2023,S0528
200072-5,200072,5,100126-5,6/24/2023,S0340
200073-1,200073,1,100128-1,8/22/2024,S0430
200074-1,200074,1,100129-1,9/12/2023,S0516
200075-1,200075,1,100137-1,8/22/2024,S0025
200075-2,200075,2,100137-2,8/22/2024,S0396
200075-3,200075,3,100137-3,8/22/2024,S0558
200075-4,200075,4,100137-4,8/22/2024,S0578
200076-1,200076,1,100138-1,9/6/2023,S0323
200077-1,200077,1,100139-1,8/13/2025,S0625
200077-2,200077,2,100139-2,8/13/2025,S0362
200077-3,200077,3,100139-3,8/13/2025,S0410
200078-1,200078,1,100140-1,6/17/2024,S0601
200078-2,200078,2,100140-2,6/17/2024,S0415
200078-3,200078,3,100140-3,6/17/2024,S0432
200079-1,200079,1,100142-1,5/16/2023,S0537
200079-2,200079,2,100142-2,5/16/2023,S0548
200079-3,200079,3,100142-3,5/16/2023,S0161
200079-4,200079,4,100142-4,5/16/2023,S0224
200080-1,200080,1,100143-1,9/15/2022,S0555
200080-2,200080,2,100143-2,9/15/2022,S0252
200080-3,200080,3,100143-3,9/15/2022,S0323
200080-4,200080,4,100143-4,9/15/2022,S0239
200081-1,200081,1,100144-1,6/18/2024,S0034
200081-2,200081,2,100144-2,6/18/2024,S0608
200081-3,200081,3,100144-3,6/18/2024,S0072
200082-1,200082,1,100145-1,12/29/2024,S0383
200082-2,200082,2,100145-2,12/29/2024,S0261
200082-3,200082,3,100145-3,12/29/2024,S0281
200082-4,200082,4,100145-4,12/29/2024,S0540
200082-5,200082,5,100145-5,12/29/2024,S0330
200083-1,200083,1,100147-1,8/31/2023,S0204
200083-2,200083,2,100147-2,8/31/2023,S0510
200083-3,200083,3,100147-3,8/31/2023,S0112
200084-1,200084,1,100154-1,1/12/2023,S0370
200085-1,200085,1,100155-1,11/4/2024,S0579
200085-2,200085,2,100155-2,11/4/2024,S0016
200085-3,200085,3,100155-3,11/4/2024,S0323
200086-1,200086,1,100157-1,4/18/2023,S0381
200087-1,200087,1,100159-1,9/10/2022,S0377
200087-2,200087,2,100159-2,9/10/2022,S0043
200087-3,200087,3,100159-3,9/10/2022,S0562
200087-4,200087,4,100159-4,9/10/2022,S0469
200087-5,200087,5,100159-5,9/10/2022,S0486
200088-1,200088,1,100160-1,8/18/2023,S0533
200088-2,200088,2,100160-2,8/18/2023,S0374
200089-1,200089,1,100165-1,4/1/2025,S0540
200089-2,200089,2,100165-2,4/1/2025,S0514
200089-3,200089,3,100165-3,4/1/2025,S0095
200089-4,200089,4,100165-4,4/1/2025,S0057
200090-1,200090,1,100166-1,12/7/2023,S0584
200090-2,200090,2,100166-2,12/7/2023,S0470
200090-3,200090,3,100166-3,12/7/2023,S0031
200090-4,200090,4,100166-4,12/7/2023,S0124
200090-5,200090,5,100166-5,12/7/2023,S0369
200091-1,200091,1,100167-1,9/20/2024,S0116
200091-2,200091,2,100167-2,9/20/2024,S0606
200091-3,200091,3,100167-3,9/20/2024,S0283
200092-1,200092,1,100170-1,10/10/2022,S0403
200092-2,200092,2,100170-2,10/10/2022,S0237
200093-1,200093,1,100172-1,4/9/2025,S0401
200093-2,200093,2,100172-2,4/9/2025,S0484
200093-3,200093,3,100172-3,4/9/2025,S0604
200094-1,200094,1,100176-1,10/7/2023,S0226
200094-2,200094,2,100176-2,10/7/2023,S0417
200094-3,200094,3,100176-3,10/7/2023,S0341
200094-4,200094,4,100176-4,10/7/2023,S0322
200094-5,200094,5,100176-5,10/7/2023,S0216
200095-1,200095,1,100177-1,3/4/2023,S0324
200095-2,200095,2,100177-2,3/4/2023,S0400
200095-3,200095,3,100177-3,3/4/2023,S0234
200095-4,200095,4,100177-4,3/4/2023,S0221
200096-1,200096,1,100179-1,9/21/2023,S0227
200096-2,200096,2,100179-2,9/21/2023,S0341
200096-3,200096,3,100179-3,9/21/2023,S0302
200096-4,200096,4,100179-4,9/21/2023,S0493
200097-1,200097,1,100181-1,10/28/2023,S0609
200097-2,200097,2,100181-2,10/28/2023,S0472
200098-1,200098,1,100182-1,2/6/2022,S0356
200099-1,200099,1,100185-1,5/23/2023,S0257
200099-2,200099,2,100185-2,5/23/2023,S0465
200100-1,200100,1,100186-1,10/2/2023,S0181
200100-2,200100,2,100186-2,10/2/2023,S0288
200100-3,200100,3,100186-3,10/2/2023,S0095
200100-4,200100,4,100186-4,10/2/2023,S0607
200100-5,200100,5,100186-5,10/2/2023,S0343
200101-1,200101,1,100189-1,11/23/2024,S0388
200101-2,200101,2,100189-2,11/23/2024,S0420
200101-3,200101,3,100189-3,11/23/2024,S0111
200101-4,200101,4,100189-4,11/23/2024,S0613
200101-5,200101,5,100189-5,11/23/2024,S0505
200102-1,200102,1,100191-1,8/13/2025,S0204
200102-2,200102,2,100191-2,8/13/2025,S0552
200102-3,200102,3,100191-3,8/13/2025,S0354
200102-4,200102,4,100191-4,8/13/2025,S0297
200102-5,200102,5,100191-5,8/13/2025,S0229
200103-1,200103,1,100193-1,4/25/2024,S0046
200103-2,200103,2,100193-2,4/25/2024,S0100
200103-3,200103,3,100193-3,4/25/2024,S0128
200103-4,200103,4,100193-4,4/25/2024,S0018
200104-1,200104,1,100194-1,12/21/2024,S0477
200105-1,200105,1,100195-1,1/2/2024,S0065
200105-2,200105,2,100195-2,1/2/2024,S0326
200105-3,200105,3,100195-3,1/2/2024,S0051
200106-1,200106,1,100198-1,7/20/2024,S0110
200106-2,200106,2,100198-2,7/20/2024,S0584
200106-3,200106,3,100198-3,7/20/2024,S0449
200107-1,200107,1,100201-1,7/25/2022,S0578
200107-2,200107,2,100201-2,7/25/2022,S0007
200107-3,200107,3,100201-3,7/25/2022,S0379
200107-4,200107,4,100201-4,7/25/2022,S0592
200108-1,200108,1,100203-1,4/2/2023,S0205
200108-2,200108,2,100203-2,4/2/2023,S0146
200108-3,200108,3,100203-3,4/2/2023,S0625
200108-4,200108,4,100203-4,4/2/2023,S0336
200109-1,200109,1,100204-1,8/13/2023,S0538
200110-1,200110,1,100206-1,12/4/2025,S0154
200110-2,200110,2,100206-2,12/4/2025,S0120
200110-3,200110,3,100206-3,12/4/2025,S0449
200111-1,200111,1,100210-1,2/23/2025,S0429
200111-2,200111,2,100210-2,2/23/2025,S0226
200111-3,200111,3,100210-3,2/23/2025,S0488
200111-4,200111,4,100210-4,2/23/2025,S0532
200111-5,200111,5,100210-5,2/23/2025,S0616
200112-1,200112,1,100211-1,5/30/2022,S0611
200112-2,200112,2,100211-2,5/30/2022,S0285
200112-3,200112,3,100211-3,5/30/2022,S0608
200113-1,200113,1,100213-1,7/25/2022,S0286
200113-2,200113,2,100213-2,7/25/2022,S0498
200113-3,200113,3,100213-3,7/25/2022,S0168
200114-1,200114,1,100214-1,3/15/2025,S0477
200114-2,200114,2,100214-2,3/15/2025,S0219
200114-3,200114,3,100214-3,3/15/2025,S0625
200114-4,200114,4,100214-4,3/15/2025,S0522
200114-5,200114,5,100214-5,3/15/2025,S0138
200115-1,200115,1,100215-1,11/17/2023,S0229
200115-2,200115,2,100215-2,11/17/2023,S0225
200115-3,200115,3,100215-3,11/17/2023,S0460
200115-4,200115,4,100215-4,11/17/2023,S0251
200116-1,200116,1,100219-1,1/20/2023,S0081
200116-2,200116,2,100219-2,1/20/2023,S0251
200116-3,200116,3,100219-3,1/20/2023,S0394
200117-1,200117,1,100220-1,10/9/2022,S0576
200117-2,200117,2,100220-2,10/9/2022,S0099
200117-3,200117,3,100220-3,10/9/2022,S0388
200118-1,200118,1,100222-1,9/3/2025,S0568
200118-2,200118,2,100222-2,9/3/2025,S0247
200118-3,200118,3,100222-3,9/3/2025,S0211
200118-4,200118,4,100222-4,9/3/2025,S0600
200118-5,200118,5,100222-5,9/3/2025,S0166
200119-1,200119,1,100225-1,8/5/2025,S0101
200119-2,200119,2,100225-2,8/5/2025,S0083
200120-1,200120,1,100226-1,10/17/2024,S0146
200120-2,200120,2,100226-2,10/17/2024,S0213
200120-3,200120,3,100226-3,10/17/2024,S0119
200120-4,200120,4,100226-4,10/17/2024,S0413
200120-5,200120,5,100226-5,10/17/2024,S0018
200121-1,200121,1,100227-1,6/6/2025,S0585
200121-2,200121,2,100227-2,6/6/2025,S0369
200122-1,200122,1,100228-1,9/29/2025,S0155
200122-2,200122,2,100228-2,9/29/2025,S0506
200122-3,200122,3,100228-3,9/29/2025,S0603
200123-1,200123,1,100230-1,2/23/2024,S0312
200123-2,200123,2,100230-2,2/23/2024,S0075
200123-3,200123,3,100230-3,2/23/2024,S0302
200123-4,200123,4,100230-4,2/23/2024,S0461
200123-5,200123,5,100230-5,2/23/2024,S0489
200124-1,200124,1,100232-1,5/29/2022,S0180
200125-1,200125,1,100233-1,11/25/2022,S0077
200125-2,200125,2,100233-2,11/25/2022,S0176
200125-3,200125,3,100233-3,11/25/2022,S0271
200125-4,200125,4,100233-4,11/25/2022,S0032
200125-5,200125,5,100233-5,11/25/2022,S0399
200126-1,200126,1,100235-1,12/11/2025,S0606
200126-2,200126,2,100235-2,12/11/2025,S0120
200126-3,200126,3,100235-3,12/11/2025,S0111
200127-1,200127,1,100236-1,10/23/2025,S0281
200127-2,200127,2,100236-2,10/23/2025,S0046
200127-3,200127,3,100236-3,10/23/2025,S0278
200127-4,200127,4,100236-4,10/23/2025,S0039
200127-5,200127,5,100236-5,10/23/2025,S0190
200128-1,200128,1,100237-1,11/21/2023,S0464
200129-1,200129,1,100238-1,8/17/2025,S0102
200129-2,200129,2,100238-2,8/17/2025,S0240
200129-3,200129,3,100238-3,8/17/2025,S0292
200129-4,200129,4,100238-4,8/17/2025,S0187
200129-5,200129,5,100238-5,8/17/2025,S0045
200130-1,200130,1,100241-1,6/10/2025,S0246
200130-2,200130,2,100241-2,6/10/2025,S0049
200130-3,200130,3,100241-3,6/10/2025,S0407
200130-4,200130,4,100241-4,6/10/2025,S0342
200131-1,200131,1,100242-1,12/1/2024,S0398
200131-2,200131,2,100242-2,12/1/2024,S0458
200131-3,200131,3,100242-3,12/1/2024,S0422
200131-4,200131,4,100242-4,12/1/2024,S0260
200132-1,200132,1,100243-1,7/17/2025,S0168
200132-2,200132,2,100243-2,7/17/2025,S0590
200132-3,200132,3,100243-3,7/17/2025,S0301
200133-1,200133,1,100248-1,6/13/2023,S0129
200133-2,200133,2,100248-2,6/13/2023,S0298
200133-3,200133,3,100248-3,6/13/2023,S0523
200133-4,200133,4,100248-4,6/13/2023,S0487
200133-5,200133,5,100248-5,6/13/2023,S0138
200134-1,200134,1,100249-1,8/15/2022,S0025
200134-2,200134,2,100249-2,8/15/2022,S0282
200134-3,200134,3,100249-3,8/15/2022,S0562
200134-4,200134,4,100249-4,8/15/2022,S0346
200134-5,200134,5,100249-5,8/15/2022,S0443
200135-1,200135,1,100250-1,7/20/2022,S0173
200135-2,200135,2,100250-2,7/20/2022,S0091
200135-3,200135,3,100250-3,7/20/2022,S0448
200136-1,200136,1,100251-1,3/31/2025,S0417
200137-1,200137,1,100255-1,8/7/2025,S0565
200138-1,200138,1,100256-1,6/25/2023,S0263
200138-2,200138,2,100256-2,6/25/2023,S0223
200138-3,200138,3,100256-3,6/25/2023,S0310
200139-1,200139,1,100258-1,10/11/2024,S0195
200139-2,200139,2,100258-2,10/11/2024,S0325
200139-3,200139,3,100258-3,10/11/2024,S0526
200139-4,200139,4,100258-4,10/11/2024,S0504
200139-5,200139,5,100258-5,10/11/2024,S0461
200140-1,200140,1,100260-1,3/19/2023,S0109
200140-2,200140,2,100260-2,3/19/2023,S0100
200140-3,200140,3,100260-3,3/19/2023,S0298
200140-4,200140,4,100260-4,3/19/2023,S0545
200141-1,200141,1,100261-1,3/29/2022,S0069
200141-2,200141,2,100261-2,3/29/2022,S0005
200141-3,200141,3,100261-3,3/29/2022,S0365
200141-4,200141,4,100261-4,3/29/2022,S0241
200141-5,200141,5,100261-5,3/29/2022,S0073
200142-1,200142,1,100266-1,10/15/2025,S0395
200142-2,200142,2,100266-2,10/15/2025,S0413
200142-3,200142,3,100266-3,10/15/2025,S0365
200142-4,200142,4,100266-4,10/15/2025,S0367
200143-1,200143,1,100267-1,6/7/2023,S0455
200144-1,200144,1,100269-1,10/28/2025,S0227
200144-2,200144,2,100269-2,10/28/2025,S0274
200144-3,200144,3,100269-3,10/28/2025,S0496
200145-1,200145,1,100273-1,6/5/2023,S0056
200145-2,200145,2,100273-2,6/5/2023,S0122
200145-3,200145,3,100273-3,6/5/2023,S0325
200145-4,200145,4,100273-4,6/5/2023,S0304
200145-5,200145,5,100273-5,6/5/2023,S0009
200146-1,200146,1,100275-1,6/16/2025,S0248
200146-2,200146,2,100275-2,6/16/2025,S0576
200147-1,200147,1,100277-1,1/19/2025,S0540
200148-1,200148,1,100278-1,9/3/2025,S0053
200149-1,200149,1,100280-1,2/15/2022,S0474
200149-2,200149,2,100280-2,2/15/2022,S0343
200150-1,200150,1,100281-1,6/21/2025,S0393
200150-2,200150,2,100281-2,6/21/2025,S0228
200150-3,200150,3,100281-3,6/21/2025,S0271
200151-1,200151,1,100285-1,7/8/2024,S0367
200152-1,200152,1,100289-1,3/28/2023,S0340
200152-2,200152,2,100289-2,3/28/2023,S0569
200153-1,200153,1,100290-1,1/11/2022,S0440
200153-2,200153,2,100290-2,1/11/2022,S0215
200154-1,200154,1,100291-1,9/3/2025,S0383
200155-1,200155,1,100292-1,8/6/2024,S0535
200156-1,200156,1,100295-1,4/16/2023,S0600
200157-1,200157,1,100296-1,1/7/2025,S0441
200157-2,200157,2,100296-2,1/7/2025,S0328
200157-3,200157,3,100296-3,1/7/2025,S0373
200157-4,200157,4,100296-4,1/7/2025,S0584
200158-1,200158,1,100297-1,3/15/2022,S0112
200158-2,200158,2,100297-2,3/15/2022,S0001
200158-3,200158,3,100297-3,3/15/2022,S0333
200158-4,200158,4,100297-4,3/15/2022,S0251
200158-5,200158,5,100297-5,3/15/2022,S0590
200159-1,200159,1,100298-1,11/7/2022,S0580
200159-2,200159,2,100298-2,11/7/2022,S0471
200159-3,200159,3,100298-3,11/7/2022,S0162
200159-4,200159,4,100298-4,11/7/2022,S0598
200160-1,200160,1,100303-1,2/8/2023,S0170
200160-2,200160,2,100303-2,2/8/2023,S0417
200161-1,200161,1,100305-1,9/30/2025,S0525
200162-1,200162,1,100307-1,12/9/2024,S0070
200162-2,200162,2,100307-2,12/9/2024,S0239
200163-1,200163,1,100308-1,4/22/2022,S0068
200163-2,200163,2,100308-2,4/22/2022,S0570
200163-3,200163,3,100308-3,4/22/2022,S0129
200164-1,200164,1,100309-1,8/29/2022,S0170
200164-2,200164,2,100309-2,8/29/2022,S0486
200164-3,200164,3,100309-3,8/29/2022,S0189
200164-4,200164,4,100309-4,8/29/2022,S0353
200164-5,200164,5,100309-5,8/29/2022,S0564
200165-1,200165,1,100310-1,6/21/2025,S0272
200166-1,200166,1,100311-1,1/30/2025,S0167
200167-1,200167,1,100312-1,8/30/2025,S0201
200167-2,200167,2,100312-2,8/30/2025,S0484
200167-3,200167,3,100312-3,8/30/2025,S0607
200167-4,200167,4,100312-4,8/30/2025,S0230
200168-1,200168,1,100316-1,6/1/2025,S0248
200168-2,200168,2,100316-2,6/1/2025,S0449
200168-3,200168,3,100316-3,6/1/2025,S0338
200169-1,200169,1,100317-1,9/29/2022,S0220
200169-2,200169,2,100317-2,9/29/2022,S0279
200170-1,200170,1,100318-1,1/4/2023,S0426
200170-2,200170,2,100318-2,1/4/2023,S0310
200170-3,200170,3,100318-3,1/4/2023,S0100
200171-1,200171,1,100320-1,2/5/2022,S0520
200172-1,200172,1,100323-1,1/23/2023,S0370
