Order,OrderItem,Product,Qty,Price,Sales,Currency
100041,1,P0211,6,19.0,114.0,EUR
100041,2,P0608,5,31.9,159.5,USD
100041,3,P0541,4,39.0,156.0,EUR
100041,4,P0103,8,179.0,1432.0,EUR
100042,1,P0303,10,34.0,340.0,EUR
100042,2,P0262,10,19.0,190.0,EUR
100042,3,P0209,3,39.0,117.0,EUR
100042,4,P0092,3,383.9,1151.7,USD
100042,5,P0260,6,19.0,114.0,EUR
100043,1,P0623,9,34.0,306.0,EUR
100043,2,P0199,10,39.0,390.0,EUR
100044,1,P0089,4,845.9,3383.6,USD
100044,2,P0592,3,34.0,102.0,EUR
100044,3,P0472,8,44.0,352.0,EUR
100044,4,P0306,8,39.0,312.0,EUR
100045,1,P0240,1,34.0,34.0,EUR
100045,2,P0022,6,899.0,5394.0,EUR
100045,3,P0470,1,39.0,39.0,EUR
100045,4,P0053,6,519.0,3114.0,EUR
100045,5,P0168,4,20.9,83.6,USD
100046,1,P0126,7,29.0,203.0,EUR
100047,1,P0437,9,83.0,747.0,EUR
100048,1,P0572,7,42.9,300.3,USD
100048,2,P0276,3,19.0,57.0,EUR
100048,3,P0548,3,44.0,132.0,EUR
100048,4,P0102,7,163.9,1147.3,USD
100048,5,P0546,9,44.0,396.0,EUR
100049,1,P0329,10,29.0,290.0,EUR
100049,2,P0158,10,24.0,240.0,EUR
100049,3,P0428,6,22.0,132.0,EUR
100050,1,P0174,8,13.2,105.6,USD
100051,1,P0593,7,42.9,300.3,USD
100052,1,P0318,4,29.0,116.0,EUR
100052,2,P0594,9,39.0,351.0,EUR
100052,3,P0221,2,34.0,68.0,EUR
100052,4,P0440,5,18.0,90.0,EUR
100052,5,P0562,2,34.0,68.0,EUR
100053,1,P0244,3,18.0,54.0,EUR
100053,2,P0216,3,21.0,63.0,EUR
100053,3,P0064,9,438.9,3950.1,USD
100053,4,P0081,5,729.0,3645.0,EUR
100053,5,P0498,7,48.4,338.8,USD
100054,1,P0496,6,44.0,264.0,EUR
100054,2,P0420,8,39.0,312.0,EUR
100054,3,P0393,8,34.0,272.0,EUR
100055,1,P0144,3,39.0,117.0,EUR
100055,2,P0052,10,399.0,3990.0,EUR
100055,3,P0020,10,669.0,6690.0,EUR
100055,4,P0149,4,29.0,116.0,EUR
100055,5,P0323,8,37.4,299.2,USD
100056,1,P0571,10,34.0,340.0,EUR
100056,2,P0551,1,37.4,37.4,USD
100056,3,P0569,6,34.0,204.0,EUR
100056,4,P0612,2,44.0,88.0,EUR
100056,5,P0470,7,42.9,300.3,USD
100057,1,P0526,10,29.0,290.0,EUR
100057,2,P0362,6,26.4,158.4,USD
100057,3,P0228,10,37.4,374.0,USD
100058,1,P0248,3,42.9,128.7,USD
100058,2,P0119,4,37.4,149.6,USD
100058,3,P0125,9,39.0,351.0,EUR
100058,4,P0009,5,1626.9,8134.5,USD
100058,5,P0175,2,29.0,58.0,EUR
100059,1,P0295,1,37.4,37.4,USD
100059,2,P0501,10,44.0,440.0,EUR
100059,3,P0403,2,25.0,50.0,EUR
100059,4,P0093,4,509.0,2036.0,EUR
100059,5,P0374,5,24.0,120.0,EUR
100060,1,P0073,2,249.0,498.0,EUR
100060,2,P0340,8,34.0,272.0,EUR
100060,3,P0153,10,24.0,240.0,EUR
100060,4,P0116,9,24.0,216.0,EUR
100060,5,P0310,7,31.9,223.3,USD
100061,1,P0060,2,1179.0,2358.0,EUR
100062,1,P0177,3,31.9,95.7,USD
100062,2,P0059,4,1019.0,4076.0,EUR
100062,3,P0089,5,769.0,3845.0,EUR
100063,1,P0017,3,1119.0,3357.0,EUR
100063,2,P0240,10,37.4,374.0,USD
100064,1,P0586,7,44.0,308.0,EUR
100064,2,P0387,10,24.0,240.0,EUR
100064,3,P0464,1,42.9,42.9,USD
100064,4,P0168,8,19.0,152.0,EUR
100065,1,P0318,10,29.0,290.0,EUR
100065,2,P0518,4,44.0,176.0,EUR
100066,1,P0175,5,31.9,159.5,USD
100066,2,P0601,5,39.0,195.0,EUR
100067,1,P0504,10,39.0,390.0,EUR
100067,2,P0132,4,21.0,84.0,EUR
100067,3,P0273,8,34.0,272.0,EUR
100068,1,P0099,6,319.0,1914.0,EUR
100069,1,P0375,8,34.0,272.0,EUR
100070,1,P0492,5,37.4,187.0,USD
100070,2,P0466,2,44.0,88.0,EUR
100070,3,P0102,3,163.9,491.7,USD
100070,4,P0031,4,493.9,1975.6,USD
100071,1,P0562,9,37.4,336.6,USD
100071,2,P0175,8,29.0,232.0,EUR
100071,3,P0416,2,79.0,158.0,EUR
100071,4,P0426,6,19.0,114.0,EUR
100072,1,P0480,10,31.9,319.0,USD
100072,2,P0271,9,14.0,126.0,EUR
100072,3,P0564,9,48.4,435.6,USD
100072,4,P0156,3,29.0,87.0,EUR
100072,5,P0116,5,24.0,120.0,EUR
100073,1,P0064,6,399.0,2394.0,EUR
100073,2,P0267,3,34.0,102.0,EUR
100073,3,P0601,2,39.0,78.0,EUR
100073,4,P0204,10,31.9,319.0,USD
100074,1,P0446,7,17.6,123.2,USD
100074,2,P0381,6,19.0,114.0,EUR
100074,3,P0454,5,68.2,341.0,USD
100074,4,P0183,8,39.0,312.0,EUR
100074,5,P0541,1,39.0,39.0,EUR
100075,1,P0226,5,19.0,95.0,EUR
100075,2,P0432,9,13.0,117.0,EUR
100075,3,P0289,9,31.9,287.1,USD
100075,4,P0243,6,14.0,84.0,EUR
100076,1,P0545,4,31.9,127.6,USD
100076,2,P0321,5,34.0,170.0,EUR
100076,3,P0050,5,1010.9,5054.5,USD
100077,1,P0547,1,42.9,42.9,USD
100078,1,P0071,6,819.0,4914.0,EUR
100078,2,P0485,10,34.0,340.0,EUR
100079,1,P0548,1,44.0,44.0,EUR
100079,2,P0599,7,39.0,273.0,EUR
100079,3,P0242,4,34.0,136.0,EUR
100080,1,P0345,9,37.4,336.6,USD
100080,2,P0323,4,34.0,136.0,EUR
100080,3,P0591,1,48.4,48.4,USD
100081,1,P0492,3,37.4,112.2,USD
100082,1,P0024,10,1179.0,11790.0,EUR
100082,2,P0198,5,29.0,145.0,EUR
100082,3,P0202,8,15.4,123.2,USD
100083,1,P0608,10,31.9,319.0,USD
100083,2,P0075,8,581.9,4655.2,USD
100083,3,P0447,10,42.0,420.0,EUR
100083,4,P0025,3,1153.9,3461.7,USD
100083,5,P0244,10,18.0,180.0,EUR
100084,1,P0154,6,34.0,204.0,EUR
100085,1,P0604,6,37.4,224.4,USD
100085,2,P0043,6,603.9,3623.4,USD
100085,3,P0038,10,1019.0,10190.0,EUR
100085,4,P0586,5,44.0,220.0,EUR
100086,1,P0226,2,19.0,38.0,EUR
100086,2,P0161,7,39.0,273.0,EUR
100086,3,P0334,1,20.9,20.9,USD
100086,4,P0081,6,729.0,4374.0,EUR
100086,5,P0245,8,19.0,152.0,EUR
100087,1,P0115,3,37.4,112.2,USD
100087,2,P0113,3,39.0,117.0,EUR
100087,3,P0019,2,549.0,1098.0,EUR
100088,1,P0440,4,18.0,72.0,EUR
100089,1,P0514,3,34.0,102.0,EUR
100089,2,P0293,9,29.0,261.0,EUR
100090,1,P0149,6,29.0,174.0,EUR
100090,2,P0355,2,15.4,30.8,USD
100090,3,P0580,3,37.4,112.2,USD
100090,4,P0457,6,98.0,588.0,EUR
100091,1,P0159,5,23.1,115.5,USD
100091,2,P0119,1,34.0,34.0,EUR
100092,1,P0588,1,29.0,29.0,EUR
100093,1,P0032,9,625.9,5633.1,USD
100093,2,P0417,5,49.0,245.0,EUR
100093,3,P0622,6,29.0,174.0,EUR
100094,1,P0398,9,17.6,158.4,USD
100094,2,P0077,8,1419.0,11352.0,EUR
100095,1,P0305,5,26.4,132.0,USD
100095,2,P0601,4,39.0,156.0,EUR
100095,3,P0387,9,24.0,216.0,EUR
100095,4,P0309,3,19.0,57.0,EUR
100095,5,P0388,10,34.0,340.0,EUR
100096,1,P0229,7,17.6,123.2,USD
100096,2,P0361,1,29.0,29.0,EUR
100096,3,P0035,7,499.0,3493.0,EUR
100096,4,P0221,3,34.0,102.0,EUR
100096,5,P0551,6,37.4,224.4,USD
100097,1,P0012,3,1679.0,5037.0,EUR
100098,1,P0389,4,42.9,171.6,USD
100099,1,P0077,1,1560.9,1560.9,USD
100099,2,P0403,7,25.0,175.0,EUR
100100,1,P0016,5,999.0,4995.0,EUR
100101,1,P0051,7,1079.0,7553.0,EUR
100101,2,P0486,4,44.0,176.0,EUR
100101,3,P0608,4,29.0,116.0,EUR
100101,4,P0308,1,24.0,24.0,EUR
100102,1,P0117,10,18.0,180.0,EUR
100103,1,P0157,5,24.0,120.0,EUR
100104,1,P0136,5,19.0,95.0,EUR
100104,2,P0511,1,31.9,31.9,USD
100104,3,P0059,1,1019.0,1019.0,EUR
100104,4,P0618,10,34.0,340.0,EUR
100104,5,P0591,6,44.0,264.0,EUR
100105,1,P0314,9,17.6,158.4,USD
100105,2,P0445,6,25.0,150.0,EUR
100106,1,P0399,3,39.0,117.0,EUR
100107,1,P0285,8,23.1,184.8,USD
100107,2,P0500,7,31.9,223.3,USD
100107,3,P0186,8,39.0,312.0,EUR
100107,4,P0165,3,20.9,62.7,USD
100107,5,P0055,1,299.0,299.0,EUR
100108,1,P0239,9,19.0,171.0,EUR
100108,2,P0319,6,34.0,204.0,EUR
100108,3,P0133,7,19.0,133.0,EUR
100108,4,P0526,7,31.9,223.3,USD
100108,5,P0040,6,1099.0,6594.0,EUR
100109,1,P0029,10,1560.9,15609.0,USD
100109,2,P0483,6,31.9,191.4,USD
100110,1,P0614,1,39.0,39.0,EUR
100110,2,P0457,9,107.8,970.2,USD
100110,3,P0422,2,129.0,258.0,EUR
100110,4,P0613,9,42.9,386.1,USD
100110,5,P0409,5,19.0,95.0,EUR
100111,1,P0330,6,29.0,174.0,EUR
100111,2,P0015,10,1079.0,10790.0,EUR
100111,3,P0357,5,42.9,214.5,USD
100111,4,P0156,5,31.9,159.5,USD
100111,5,P0143,2,24.0,48.0,EUR
100112,1,P0195,5,39.0,195.0,EUR
100112,2,P0385,4,19.0,76.0,EUR
100113,1,P0017,2,1119.0,2238.0,EUR
100113,2,P0455,8,75.0,600.0,EUR
100114,1,P0430,1,31.0,31.0,EUR
100114,2,P0235,9,24.0,216.0,EUR
100114,3,P0578,2,37.4,74.8,USD
100114,4,P0249,3,34.0,102.0,EUR
100115,1,P0262,9,20.9,188.1,USD
100115,2,P0162,7,37.4,261.8,USD
100115,3,P0288,5,26.4,132.0,USD
100116,1,P0190,10,29.0,290.0,EUR
100116,2,P0522,2,31.9,63.8,USD
100116,3,P0578,2,34.0,68.0,EUR
100116,4,P0483,4,29.0,116.0,EUR
100116,5,P0032,6,625.9,3755.4,USD
100117,1,P0449,4,70.0,280.0,EUR
100117,2,P0304,8,20.9,167.2,USD
100117,3,P0306,4,42.9,171.6,USD
100117,4,P0430,8,31.0,248.0,EUR
100117,5,P0349,8,19.0,152.0,EUR
100118,1,P0501,7,44.0,308.0,EUR
100118,2,P0451,6,36.3,217.8,USD
100118,3,P0191,5,31.9,159.5,USD
100118,4,P0166,10,19.0,190.0,EUR
100119,1,P0484,6,44.0,264.0,EUR
100119,2,P0373,2,24.0,48.0,EUR
100119,3,P0567,4,48.4,193.6,USD
100119,4,P0350,4,29.0,116.0,EUR
100120,1,P0180,3,39.0,117.0,EUR
100120,2,P0192,2,39.0,78.0,EUR
100120,3,P0189,9,20.9,188.1,USD
100120,4,P0056,3,419.0,1257.0,EUR
100120,5,P0486,8,44.0,352.0,EUR
100121,1,P0057,4,579.0,2316.0,EUR
100121,2,P0121,6,31.9,191.4,USD
100121,3,P0435,5,39.0,195.0,EUR
100121,4,P0079,10,493.9,4939.0,USD
100121,5,P0285,10,21.0,210.0,EUR
100122,1,P0123,8,19.0,152.0,EUR
100122,2,P0249,10,37.4,374.0,USD
100122,3,P0433,4,26.0,104.0,EUR
100123,1,P0037,9,899.0,8091.0,EUR
100123,2,P0570,5,44.0,220.0,EUR
100123,3,P0271,6,14.0,84.0,EUR
100123,4,P0280,6,20.9,125.4,USD
100123,5,P0412,6,64.9,389.4,USD
100124,1,P0373,10,24.0,240.0,EUR
100124,2,P0501,10,48.4,484.0,USD
100124,3,P0233,4,24.0,96.0,EUR
100124,4,P0164,7,19.0,133.0,EUR
100124,5,P0014,9,919.0,8271.0,EUR
100125,1,P0188,7,23.1,161.7,USD
100125,2,P0013,8,799.0,6392.0,EUR
100125,3,P0354,10,42.9,429.0,USD
100125,4,P0084,5,1279.0,6395.0,EUR
100126,1,P0288,9,26.4,237.6,USD
100126,2,P0228,6,34.0,204.0,EUR
100126,3,P0192,2,39.0,78.0,EUR
100126,4,P0528,6,44.0,264.0,EUR
100126,5,P0340,7,34.0,238.0,EUR
100127,1,P0376,10,39.0,390.0,EUR
100127,2,P0594,4,42.9,171.6,USD
100127,3,P0151,8,34.0,272.0,EUR
100128,1,P0430,6,31.0,186.0,EUR
100129,1,P0516,3,29.0,87.0,EUR
100130,1,P0155,6,37.4,224.4,USD
100130,2,P0089,5,769.0,3845.0,EUR
100130,3,P0286,9,21.0,189.0,EUR
100130,4,P0626,3,31.9,95.7,USD
100131,1,P0193,6,19.0,114.0,EUR
100131,2,P0399,10,39.0,390.0,EUR
100131,3,P0315,7,24.0,168.0,EUR
100131,4,P0555,4,48.4,193.6,USD
100131,5,P0449,4,70.0,280.0,EUR
100132,1,P0467,7,37.4,261.8,USD
100132,2,P0545,4,29.0,116.0,EUR
100132,3,P0094,2,279.0,558.0,EUR
100132,4,P0114,6,39.0,234.0,EUR
100133,1,P0416,5,86.9,434.5,USD
100133,2,P0188,7,23.1,161.7,USD
100133,3,P0112,1,39.0,39.0,EUR
100133,4,P0034,1,379.0,379.0,EUR
100133,5,P0023,3,1019.0,3057.0,EUR
100134,1,P0017,9,1119.0,10071.0,EUR
100134,2,P0228,3,37.4,112.2,USD
100135,1,P0137,8,34.0,272.0,EUR
100135,2,P0543,8,44.0,352.0,EUR
100136,1,P0297,1,29.0,29.0,EUR
100136,2,P0113,3,39.0,117.0,EUR
100136,3,P0002,1,1175.9,1175.9,USD
100136,4,P0532,6,34.0,204.0,EUR
100136,5,P0317,8,24.0,192.0,EUR
100137,1,P0025,3,1049.0,3147.0,EUR
100137,2,P0396,3,29.0,87.0,EUR
100137,3,P0558,1,34.0,34.0,EUR
100137,4,P0578,3,34.0,102.0,EUR
100138,1,P0323,7,37.4,261.8,USD
100139,1,P0625,5,31.9,159.5,USD
100139,2,P0362,10,24.0,240.0,EUR
100139,3,P0410,6,29.0,174.0,EUR
100140,1,P0601,5,39.0,195.0,EUR
100140,2,P0415,9,39.0,351.0,EUR
100140,3,P0432,8,14.3,114.4,USD
100141,1,P0567,7,44.0,308.0,EUR
100141,2,P0416,1,79.0,79.0,EUR
100141,3,P0114,4,39.0,156.0,EUR
100141,4,P0279,10,29.0,290.0,EUR
100141,5,P0593,7,39.0,273.0,EUR
100142,1,P0537,1,39.0,39.0,EUR
100142,2,P0548,1,44.0,44.0,EUR
100142,3,P0161,4,39.0,156.0,EUR
100142,4,P0224,1,31.9,31.9,USD
100143,1,P0555,9,44.0,396.0,EUR
100143,2,P0252,2,39.0,78.0,EUR
100143,3,P0323,3,34.0,102.0,EUR
100143,4,P0239,6,19.0,114.0,EUR
100144,1,P0034,8,416.9,3335.2,USD
100144,2,P0608,1,29.0,29.0,EUR
100144,3,P0072,5,1076.9,5384.5,USD
100145,1,P0383,5,18.0,90.0,EUR
100145,2,P0261,6,39.0,234.0,EUR
100145,3,P0281,7,24.0,168.0,EUR
100145,4,P0540,3,29.0,87.0,EUR
100145,5,P0330,8,31.9,255.2,USD
100146,1,P0448,5,46.2,231.0,USD
100147,1,P0204,5,29.0,145.0,EUR
100147,2,P0510,8,37.4,299.2,USD
100147,3,P0112,8,42.9,343.2,USD
100148,1,P0058,3,988.9,2966.7,USD
100148,2,P0336,9,31.9,287.1,USD
100148,3,P0056,2,460.9,921.8,USD
100149,1,P0436,5,39.0,195.0,EUR
100150,1,P0198,9,29.0,261.0,EUR
100150,2,P0215,5,12.0,60.0,EUR
100150,3,P0091,5,251.9,1259.5,USD
100151,1,P0057,8,579.0,4632.0,EUR
100151,2,P0061,6,548.9,3293.4,USD
100152,1,P0536,10,29.0,290.0,EUR
100152,2,P0581,7,48.4,338.8,USD
100152,3,P0498,10,48.4,484.0,USD
100153,1,P0465,8,48.4,387.2,USD
100154,1,P0370,10,23.1,231.0,USD
100155,1,P0579,2,29.0,58.0,EUR
100155,2,P0016,2,1098.9,2197.8,USD
100155,3,P0323,6,37.4,224.4,USD
100156,1,P0280,1,19.0,19.0,EUR
100156,2,P0349,10,19.0,190.0,EUR
100156,3,P0034,3,379.0,1137.0,EUR
100157,1,P0381,3,19.0,57.0,EUR
100158,1,P0421,7,75.9,531.3,USD
100158,2,P0063,2,779.0,1558.0,EUR
100159,1,P0377,3,42.9,128.7,USD
100159,2,P0043,2,549.0,1098.0,EUR
100159,3,P0562,5,37.4,187.0,USD
100159,4,P0469,10,34.0,340.0,EUR
100159,5,P0486,4,48.4,193.6,USD
100160,1,P0533,5,29.0,145.0,EUR
100160,2,P0374,5,24.0,120.0,EUR
100161,1,P0307,4,34.0,136.0,EUR
100161,2,P0117,7,19.8,138.6,USD
100161,3,P0620,9,37.4,336.6,USD
100162,1,P0173,9,13.2,118.8,USD
100162,2,P0441,5,36.0,180.0,EUR
100162,3,P0512,7,37.4,261.8,USD
100163,1,P0337,6,20.9,125.4,USD
100163,2,P0122,7,20.9,146.3,USD
100164,1,P0596,5,39.0,195.0,EUR
100165,1,P0540,4,29.0,116.0,EUR
100165,2,P0514,2,37.4,74.8,USD
100165,3,P0095,8,199.0,1592.0,EUR
100165,4,P0057,1,636.9,636.9,USD
100166,1,P0584,8,44.0,352.0,EUR
100166,2,P0470,10,39.0,390.0,EUR
100166,3,P0031,10,493.9,4939.0,USD
100166,4,P0124,4,34.0,136.0,EUR
100166,5,P0369,7,23.1,161.7,USD
100167,1,P0116,9,24.0,216.0,EUR
100167,2,P0606,5,34.0,170.0,EUR
100167,3,P0283,3,42.9,128.7,USD
100168,1,P0497,5,39.0,195.0,EUR
100168,2,P0312,6,24.0,144.0,EUR
100169,1,P0154,7,37.4,261.8,USD
100169,2,P0374,7,24.0,168.0,EUR
100170,1,P0403,6,27.5,165.0,USD
100170,2,P0237,1,20.9,20.9,USD
100171,1,P0569,4,34.0,136.0,EUR
100171,2,P0522,3,29.0,87.0,EUR
100172,1,P0401,6,29.0,174.0,EUR
100172,2,P0484,10,48.4,484.0,USD
100172,3,P0604,6,34.0,204.0,EUR
100173,1,P0195,9,39.0,351.0,EUR
100173,2,P0235,7,24.0,168.0,EUR
100173,3,P0282,7,34.0,238.0,EUR
100173,4,P0318,1,29.0,29.0,EUR
100173,5,P0455,6,75.0,450.0,EUR
100174,1,P0371,3,31.9,95.7,USD
100174,2,P0280,4,19.0,76.0,EUR
100174,3,P0164,3,19.0,57.0,EUR
100175,1,P0257,4,21.0,84.0,EUR
100175,2,P0418,10,26.4,264.0,USD
100176,1,P0226,3,19.0,57.0,EUR
100176,2,P0417,1,53.9,53.9,USD
100176,3,P0341,8,21.0,168.0,EUR
100176,4,P0322,10,20.9,209.0,USD
100176,5,P0216,7,21.0,147.0,EUR
100177,1,P0324,8,29.0,232.0,EUR
100177,2,P0400,3,59.0,177.0,EUR
100177,3,P0234,10,34.0,340.0,EUR
100177,4,P0221,3,34.0,102.0,EUR
100178,1,P0204,9,29.0,261.0,EUR
100178,2,P0054,2,679.0,1358.0,EUR
100178,3,P0446,1,16.0,16.0,EUR
100178,4,P0293,3,29.0,87.0,EUR
100179,1,P0227,1,19.0,19.0,EUR
100179,2,P0341,1,21.0,21.0,EUR
100179,3,P0302,1,42.9,42.9,USD
100179,4,P0493,4,44.0,176.0,EUR
100180,1,P0426,5,19.0,95.0,EUR
100180,2,P0374,1,26.4,26.4,USD
100180,3,P0599,3,39.0,117.0,EUR
100180,4,P0237,9,19.0,171.0,EUR
100180,5,P0490,5,44.0,220.0,EUR
100181,1,P0609,2,34.0,68.0,EUR
100181,2,P0472,5,44.0,220.0,EUR
100182,1,P0356,10,14.0,140.0,EUR
100183,1,P0035,7,499.0,3493.0,EUR
100183,2,P0307,8,34.0,272.0,EUR
100183,3,P0208,7,19.0,133.0,EUR
100183,4,P0006,5,1379.0,6895.0,EUR
100184,1,P0242,10,34.0,340.0,EUR
100184,2,P0127,6,19.0,114.0,EUR
100184,3,P0069,4,929.0,3716.0,EUR
100185,1,P0257,7,23.1,161.7,USD
100185,2,P0465,6,44.0,264.0,EUR
100186,1,P0181,6,31.9,191.4,USD
100186,2,P0288,8,24.0,192.0,EUR
100186,3,P0095,3,199.0,597.0,EUR
100186,4,P0607,6,39.0,234.0,EUR
100186,5,P0343,7,31.9,223.3,USD
100187,1,P0053,10,570.9,5709.0,USD
100187,2,P0340,8,37.4,299.2,USD
100188,1,P0113,1,42.9,42.9,USD
100188,2,P0464,7,39.0,273.0,EUR
100188,3,P0490,9,48.4,435.6,USD
100188,4,P0360,4,31.9,127.6,USD
100189,1,P0388,9,37.4,336.6,USD
100189,2,P0420,10,39.0,390.0,EUR
100189,3,P0111,7,24.0,168.0,EUR
100189,4,P0613,5,39.0,195.0,EUR
100189,5,P0505,2,37.4,74.8,USD
100190,1,P0111,8,24.0,192.0,EUR
100190,2,P0268,7,31.9,223.3,USD
100190,3,P0309,2,19.0,38.0,EUR
100190,4,P0138,10,31.9,319.0,USD
100191,1,P0204,1,29.0,29.0,EUR
100191,2,P0552,2,39.0,78.0,EUR
100191,3,P0354,3,39.0,117.0,EUR
100191,4,P0297,10,29.0,290.0,EUR
100191,5,P0229,10,16.0,160.0,EUR
100192,1,P0374,4,24.0,96.0,EUR
100193,1,P0046,10,699.0,6990.0,EUR
100193,2,P0100,7,419.0,2933.0,EUR
100193,3,P0128,10,34.0,340.0,EUR
100193,4,P0018,3,1406.9,4220.7,USD
100194,1,P0477,10,34.0,340.0,EUR
100195,1,P0065,7,570.9,3996.3,USD
100195,2,P0326,10,24.0,240.0,EUR
100195,3,P0051,4,1186.9,4747.6,USD
100196,1,P0552,10,39.0,390.0,EUR
100196,2,P0475,5,39.0,195.0,EUR
100196,3,P0094,2,279.0,558.0,EUR
100196,4,P0057,6,636.9,3821.4,USD
